   3.79493475       3.79493475       6.04083061       6.04083061      -5.94363976    
   4.80732012       4.80732012       1.77813745       1.77813745      -4.09238768    
   1.97783411       1.97783411      0.914670527      0.914670527      -2.73889041    
   1.07168698       1.07168698      0.439294547      0.439294547      -1.52870619    
   4.09188795       4.09188795       5.93568707       5.93568707      -6.38292599    
   3.32732010       3.32732010       7.41188526       7.41188526      -6.04421282    
   2.11149859       2.11149859       3.93672037       3.93672037      -4.09860420    
  -1.22198462      -1.22198462      0.401507616      0.401507616      0.124395788    
   4.62470484       4.62470484       6.21797609       6.21797609      -7.48961449    
   3.36023760       3.36023760       1.76930988       1.76930988      -3.30909061    
   4.06717062       4.06717062       6.02656698       6.02656698      -6.98582268    
