  -1.26217759       1.24718511      -1.26217759       1.24718511    
  -1.22949052       1.25082195      -1.22949052       1.25082195    
  -1.22156060       1.24219143      -1.22156060       1.24219143    
  -1.22469509       1.25377584      -1.22469509       1.25377584    
  -1.23226702       1.24296498      -1.23226702       1.24296498    
  -1.22379446       1.24494302      -1.22379446       1.24494302    
  -1.21952808       1.25669062      -1.21952808       1.25669062    
  -1.22454023       1.26452088      -1.22454023       1.26452088    
  -1.20299566       1.25465810      -1.20299566       1.25465810    
  -1.20965314       1.24828017      -1.20965314       1.24828017    
  -1.21664894       1.23463809      -1.21664894       1.23463809    
  -1.21158385       1.23556900      -1.21158385       1.23556900    
  -1.21381879       1.24489152      -1.21381879       1.24489152    
  -1.22843063       1.26926637      -1.22843063       1.26926637    
  -1.21271491       1.25733364      -1.21271491       1.25733364    
  -1.20819640       1.24219704      -1.20819640       1.24219704    
  -1.23302126       1.25176156      -1.23302126       1.25176156    
  -1.23123002       1.25059891      -1.23123002       1.25059891    
  -1.23024607       1.23851299      -1.23024607       1.23851299    
  -1.24958968       1.24177516      -1.24958968       1.24177516    
  -1.19225776       1.18086529      -1.19225776       1.18086529    
  -1.17946219       1.18066132      -1.17946219       1.18066132    
  -1.18495464       1.17040765      -1.18495464       1.17040765    
  -1.17253268       1.18338215      -1.17253268       1.18338215    
  -1.18542385       1.17578971      -1.18542385       1.17578971    
  -1.17460692       1.16169798      -1.17460692       1.16169798    
  -1.18930030       1.18458855      -1.18930030       1.18458855    
  -1.17340350       1.18878138      -1.17340350       1.18878138    
  -1.18567169       1.16411746      -1.18567169       1.16411746    
  -1.18068051       1.16796017      -1.18068051       1.16796017    
  -1.18005204       1.17788041      -1.18005204       1.17788041    
  -1.17925644       1.17139280      -1.17925644       1.17139280    
  -1.16737390       1.17163551      -1.16737390       1.17163551    
  -1.17807436       1.17724657      -1.17807436       1.17724657    
  -1.18229353       1.17721677      -1.18229353       1.17721677    
  -1.17965853       1.18383348      -1.17965853       1.18383348    
  -1.19036186       1.18504488      -1.19036186       1.18504488    
  -1.19367898       1.18354237      -1.19367898       1.18354237    
  -1.18108010       1.20349133      -1.18108010       1.20349133    
  -1.18438578       1.18912160      -1.18438578       1.18912160    
  -1.05688834       1.16651464      -1.05688834       1.16651464    
  -1.08346963       1.13352513      -1.08346963       1.13352513    
  -1.05286264       1.13750184      -1.05286264       1.13750184    
  -1.09230137       1.09707010      -1.09230137       1.09707010    
  -1.15501654       1.12475717      -1.15501654       1.12475717    
  -1.03423667       1.10391700      -1.03423667       1.10391700    
  -1.06378853       1.12723827      -1.06378853       1.12723827    
  -1.09851086       1.15986502      -1.09851086       1.15986502    
  -1.06815577       1.12873673      -1.06815577       1.12873673    
  -1.07160950       1.09402108      -1.07160950       1.09402108    
  -1.12190104       1.11075318      -1.12190104       1.11075318    
  -1.07219696       1.15712106      -1.07219696       1.15712106    
  -1.07578993       1.14196920      -1.07578993       1.14196920    
  -1.06034863       1.16931129      -1.06034863       1.16931129    
  -1.11617088       1.14391208      -1.11617088       1.14391208    
  -1.07263267       1.11144638      -1.07263267       1.11144638    
  -1.08756030       1.11471558      -1.08756030       1.11471558    
  -1.08409262       1.17546940      -1.08409262       1.17546940    
  -1.09227931       1.21173954      -1.09227931       1.21173954    
  -1.09896433       1.12977779      -1.09896433       1.12977779    
  -1.11222553       1.04792237      -1.11222553       1.04792237    
  -1.09381354       1.07772720      -1.09381354       1.07772720    
  -1.11481297       1.01848280      -1.11481297       1.01848280    
  -1.07345974       1.03382933      -1.07345974       1.03382933    
  -1.09690452       1.03150749      -1.09690452       1.03150749    
  -1.06523025       1.08745742      -1.06523025       1.08745742    
  -1.08985472       1.01302326      -1.08985472       1.01302326    
  -1.09219980       1.06273830      -1.09219980       1.06273830    
  -1.11389029       1.04107440      -1.11389029       1.04107440    
  -1.10647976       1.01484370      -1.10647976       1.01484370    
  -1.09968102       1.06115699      -1.09968102       1.06115699    
  -1.11033618       1.06292200      -1.11033618       1.06292200    
  -1.11015010       1.05871367      -1.11015010       1.05871367    
  -1.07800925       1.04348195      -1.07800925       1.04348195    
  -1.09521794       1.04697585      -1.09521794       1.04697585    
  -1.11350965       1.06527829      -1.11350965       1.06527829    
  -1.10897374       1.03945303      -1.10897374       1.03945303    
  -1.08148932       1.03761053      -1.08148932       1.03761053    
  -1.04584849       1.09270787      -1.04584849       1.09270787    
  -1.12347257       1.04346228      -1.12347257       1.04346228    
  -1.25958633       1.22541296      -1.25958633       1.22541296    
  -1.21589339       1.25004792      -1.21589339       1.25004792    
  -1.21462572       1.23010540      -1.21462572       1.23010540    
  -1.24992967       1.22812867      -1.24992967       1.22812867    
  -1.27316856       1.24559569      -1.27316856       1.24559569    
  -1.22511673       1.24086261      -1.22511673       1.24086261    
  -1.22455084       1.23130786      -1.22455084       1.23130786    
  -1.25412381       1.24040210      -1.25412381       1.24040210    
  -1.25695562       1.23365963      -1.25695562       1.23365963    
  -1.22215402       1.24522221      -1.22215402       1.24522221    
  -1.22078001       1.24561286      -1.22078001       1.24561286    
  -1.25399363       1.23306024      -1.25399363       1.23306024    
  -1.25730097       1.24152911      -1.25730097       1.24152911    
  -1.21659684       1.23650646      -1.21659684       1.23650646    
  -1.22050345       1.24090755      -1.22050345       1.24090755    
  -1.26753378       1.23470330      -1.26753378       1.23470330    
  -1.27959549       1.23970342      -1.27959549       1.23970342    
  -1.20495260       1.25800717      -1.20495260       1.25800717    
  -1.18811190       1.22839546      -1.18811190       1.22839546    
  -1.25722182       1.23756957      -1.25722182       1.23756957    
