   1.36325228       1.36325228       1.02550483       1.02550483       1.38459921    
   6.60820627       6.60820627       2.23565984       2.23565984      -5.20117712    
   3.98041916       3.98041916     -0.317778349     -0.317778349      -2.93356252    
   4.06338167       4.06338167      0.496060103      0.496060103      -2.89671254    
   5.18834162       5.18834162       1.27735448       1.27735448      -3.54303885    
   3.52569413       3.52569413       6.34032917       6.34032917      -6.05518007    
   3.26927233       3.26927233       1.02203274       1.02203274      -2.68788195    
   4.99900961       4.99900961      0.353532434      0.353532434      -2.95495296    
   5.45672703       5.45672703       1.76279747       1.76279747      -4.42849159    
   7.16655350       7.16655350       2.70172691       2.70172691      -5.78301954    
   3.72655106       3.72655106      0.482593000      0.482593000      -6.11561918    
